timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597308303801,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303802,13,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303813,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303814,13,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303815,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303816,13,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303813,26,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,26,0,13
1597308303828,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303828,14,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303828,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303829,14,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303839,13,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303842,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303843,14,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303843,15,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,15,0,0
1597308303842,16,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,16,0,0
1597308303852,13,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303856,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303857,13,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303859,13,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303859,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303865,13,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303871,13,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303871,14,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303872,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303873,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303878,13,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303885,13,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303885,14,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303886,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303887,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,5,5,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303891,15,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,15,0,0
1597308303899,13,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303899,13,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303900,14,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303901,13,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303906,13,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303913,14,HTTP Request,200,OK,users 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303913,14,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303914,14,HTTP Request,200,OK,users 1-3,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,14,0,0
1597308303914,16,HTTP Request,200,OK,users 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,16,0,0
1597308303919,13,HTTP Request,200,OK,users 1-5,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
1597308303906,27,HTTP Request,200,OK,users 1-6,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,27,0,12
1597308303928,13,HTTP Request,200,OK,users 1-4,text,false,"Test failed: code expected to equal /

****** received  : [[[200]]]

****** comparison: [[[   ]]]

/",228,180,6,6,http://a5f7c23ddb8b64b1c85098e5df1b96b8-305751716.us-east-2.elb.amazonaws.com:3000/,13,0,0
